Content,Emotion_actual,Emotion_predicted
my cousin be a monkey,neutral,worry
There s suppose to be a lt 3 at the end of my last tweet but I guess twitter eat it,neutral,worry
the wive aunts 40th,surprise,worry
blog be crash my browser,sadness,neutral
a moovie and im sit about go 2 ma friend Sara s tomorrow at 9 00 a m She be injure I luv ya ll i will keep u update,love,neutral
It s ugly and gray outside even in San Diego Not too cold will get to 70 but May gray June gloom for us all,sadness,neutral
I ask mum bout go out tommorow she laugh in my face lmao,happiness,worry
excite of blow out another candle today as when I be a kid,sadness,worry
hey be you guy plan any So Cal headline show around the time of the Blink tour We dont get you in Irvine,neutral,sadness
I must of bring the bad weather with me to the state,worry,worry
tire I wish I have time for a nap before work,worry,neutral
i have no mask to whoop,neutral,worry
week just wasnt the same without an adam lambert performance,neutral,sadness
aww tessy wan na hug,love,worry
hug those be the worst Mine use to be really bad on the first day sometimes can t even get out of bed,worry,sadness
through today s paper along with some water down coffee compliment of my rent,neutral,worry
twitter eh chato mas vicia,neutral,neutral
BrentO She Maybe that be our first mistake Not everyone be as cool as brown nose moment,sadness,neutral
Awe I miss my baby,neutral,worry
be drop off for service and mot get the train home Hate public transport,hate,hate
QW,anger,neutral
how much i sleep be still tire,boredom,worry
I knnoww I m so upset I be go to twitter u but my sis s apt be like a lead box nosignal Where be the cookout,worry,worry
not feel good at all today,worry,worry
well there go my peace corps prospect,worry,worry
the there s confuse me,worry,sadness
oh the noon I don t know if I can make that one I only get 30 min for lunch,worry,worry
popularity contest and they think twitter will help and it s become trendy,neutral,worry
a new phone,empty,neutral
now I m really go to bed even tho I ain t tire night lt 3,worry,worry
stuff I order get return to sender because it be damage need to work out how to get to a garden centre,worry,worry
I miss your party you must forgive me pleasse i feel bad,worry,sadness
Do a tour in the Philippines sometime A lot of fan here would really love that,love,sadness
go to shul,worry,worry
be work next door suck again,worry,sadness
Sorry JJ i miss that post I ll make sure do so next time,worry,worry
sure my laptop just die 100 HP DV200 wireless problems constantly tons of heat win t start at all now Fried circuit,worry,worry
i dunno tipsy give EVERYTHING in the 1st set and still lose not sure what mental state he be in but the injury be bad time,worry,worry
i sprain my ankle yesterday and it hurt worse today,worry,worry
anywayss to the point i be die to spend my summer over there or somewhere hot with you guy,happiness,worry
oh i know how budget be,worry,worry
If they record it and send it to people they obviously mean for it to get out there But if they didn t I feel bad,sadness,worry
put in new contact,hate,worry
fell asleep with techno songs on shuffle Loud Its be on for hours Im too lazy to go turn it off He have like 800,neutral,worry
wan na go to the beach but I have to study,sadness,sadness
doh I m out of town so I can t get my result from the mail,worry,sadness
go get my teeth take out,worry,worry
Anybody see Where be my Twinster,surprise,neutral
Hey So glad it s Friday but not happy that I just eat a bad apple,happiness,worry
aww dont cry ashley,sadness,sadness
get off work work night shift at the hospital 12 hrs a day be start to get to me,sadness,sadness
Already miss,sadness,sadness
she could have be a lose dog poor girl,sadness,sadness
drop off some car part for a buddy to press out then to the dentist,worry,worry
of make a Google Wave wordpress plugin in the next months Really want to test it,neutral,worry
COME ITS SO HARD TO FIND A GUY WITH THE SAME PASSION FOR LOVE AS FOR A WOMAN AM I EVER GOING TO SEE THE DAY IM lonely yall,worry,sadness
LOL That suck,neutral,sadness
Damn I be hop that be somewhere in the U S,worry,worry
cant find my itouch for the 64577 billionth time n i need it to sleep,worry,worry
you believe it Tomorrow Night will be Jay Leno s last episode of the Tonight Show I encourage everyone to watch it and welcome Conan,happiness,worry
if you need to talk or vent let me know,worry,worry
be listen to 2 nine yr olds murder hannah montanna on disney sing it Bring on the headache tablets,worry,neutral
Friday but not the most pleasant ones waay to much work,relief,neutral
have to go to the doctor i don t want to cause there i can wait soo long,worry,worry
ha The potential be there but so be the loss of finger think you can get the PO to do it At a charge and not full proof,worry,sadness
I don t I hope it take them a good long while to recover,relief,worry
out tonight have to work off the Cheesecake I eat todAY To all the pple who be on a diet DON T QUIT It s not worth it,enthusiasm,worry
n o   t e x t,worry,neutral
some really nice coffee get to go to the dentist at 9am this morning,sadness,worry
just have my interview go awsome I didn t get to talk with Mr Johnny think oh well I still do really good,happiness,worry
Hope you don t get let down again,worry,worry
so sad i have to pay 60,worry,sadness
want somebody to hold me Alma tear tear,sadness,worry
think I m about to break my own heart as emo as that sound meh,sadness,worry
NEWS GM share be currently trade below 1 00 at only 88 per share,surprise,worry
good morning sunshine sleepytown be sleepy,happiness,worry
midsomer murder totally in love with this show Should have pursue forensic psychology instead of this brain thingy,love,sadness
run out of facebook quiz lol grocery shop then work w00t,relief,neutral
LOL wow dawg doesn t sound like you re play I feel bad now haha,sadness,happiness
cheer up lizzi there will b another foh hero concert but still i suppose we can b upset xoxoxo,sadness,worry
want to go to singapore but my mother seem not,surprise,worry
i say quot we close at 6 quot it do not mean quot come in at 6 quot Ffs people Also RIP Polly,sadness,worry
day today Broke so I can t go and see my friend s band tonight Maybe The Q tomorrow though,sadness,sadness
mommypages I wish our didn t close,worry,worry
make me sad when people phone be sick,worry,sadness
day stay off the foot as much as possible,neutral,worry
one talk to me anymore on here,relief,worry
no im not cry LOL,neutral,sadness
Oh I love em but when I think about the kind of preservatives they re use to stay quot just bake quot it kinda make me sick,love,sadness
swear now my dog be have anxiety issue,worry,worry
anyone else hayfevery today I ve only be awake for 40mins and sufferin already,sadness,worry
need some motivation in my life oh and some love would be nice too,sadness,sadness
with a great time spend with my cousins technically uncles and aunts also have an icecream it dint taste that good,love,sadness
wassup m8 bad day not good,worry,worry
Aww Thatss Well Sad x,neutral,worry
The sweety sit on the table this morning Just wake up Very sweet Oh btw I think i ll be home around 7 pm Xxx,love,worry
def see ya tonight we must get some RN photo s I didn t get any yesterday lol And thank for do so please don t forget,surprise,worry
and a half more hours of work I wish I have something to do,neutral,worry
work to go to,sadness,neutral
he win t reply,worry,worry
i feel your pain i once live in an apt for 6 mos where the previous tenant have 4 cat burn eye tight lungs gregg,sadness,sadness
we tell you guy we be just go for a while to get our pass then we be go to see UP downtown disney Yay,fun,worry
like death evil headache and need to pack and drive to parent Bum,sadness,worry
my phne block text,worry,sadness
fever and be now half dead,worry,worry
up Walked out of my room and a bug fly in my eye,worry,worry
Sorry you be have a bad week I feel like if I could get good sleep I would be so much better too Fog,worry,worry
be leave soon for Kansas City to take some of my stuff Only 8 days of live in Carthage leave,relief,sadness
one day I do my hair weather suck where be the sun,worry,sadness
when i think things couldn t get any worse it just do and it will get even worse tonight i bet my life be a misery,worry,worry
like crap behave like my son eat to compensate Pigged out on home roast sugar almonds Painful tum throw up still feel sick,sadness,worry
get no followers i only have like 2 someone follow Me please,neutral,worry
Think of the prize at the end So sorry to hear that though,worry,worry
oo ok why havent you accept my friends request,neutral,neutral
I know but I m on Rogers and I m pretty sure they don t have the same agreement with Twitter,neutral,worry
strong contractions but want to go out,neutral,neutral
Oh no Hope it s not as bad as it sound,worry,worry
I hate fuck winshit,hate,hate
Weird Maybe all the update just aren t be send to my phone Haha,happiness,neutral
soo yeh its really hard to concentrate rite now wen i have this weird lupus feel goin thro my body,worry,worry
isn t go the way I plan Early lunchbreak amp I may not be back til Mon Weekend gon na be fun with friends tho,neutral,worry
head spin from math start to dream in formulas NOT good,worry,worry
Trudy s off Burnet the one up north that no one go to,empty,sadness
how come you dont think you do good,happiness,worry
revise in the garden from 8 this morning without sunscreen isnt the best idea ive have oucch,surprise,worry
welcome back I m stick in jury duty today,sadness,worry
ever have that heavy feel of sadness in their hearts Thats my case rite now,sadness,worry
rain now my hair will gett all gay,worry,worry
Now that I have a salary I can actually spend money Hooray Time to go shop and have dinner at Ahora to say goodbye to,happiness,sadness
cant sleep on this bus still have like 5 hours,neutral,worry
cheer mate still get over Wednesday You ok You should be you be an incredibly wealthy man,worry,worry
I KNOW JOIN THE FREEKIN CLUB,happiness,neutral
aww poor Caity L add people n they will add you,worry,worry
NOW LIVE DJ JAYEM B2B E S R Click,happiness,neutral
say quot wipe the slate clean quot before the jelly,neutral,neutral
like i m the only person over here do postal vote for the upcoming election be there already twice to get the document,neutral,worry
I would think you d want to follow me,surprise,worry
I haven t have a good homemade flour tortilla in age,happiness,worry
It s depress I m stick inside all day,sadness,happiness
let me know how it go I m pray Ummph I still can t believe it,worry,worry
be gon na get off at 230 2day Just find out I m stayin til 630,surprise,neutral
quot Something must be wrong Only find 17 July Harl Sil book I want,worry,worry
do I always wake up ONE minute before my alarm be schedule to go off,worry,neutral
Let us know what happen poor little guy,worry,worry
I still love the fact that you can t scratch them That be a winner for me,relief,sadness
traumatize and sadden by the 2 baby squirells she just find on abandon on the sidewalk,worry,worry
the concert be awesome madrigal give me chill on almost every piece brook also call up alumni but i didnt get to go,happiness,worry
hahahaa i be sit outside from 2 4 and then come in for a bite haha be out a while ago but dads cut the grass now,surprise,worry
no its not Chandler Bing its the new Search engine from Microsoft but why the name Bing,surprise,worry
ready to head out to Camp Allen Unless somethings change that mean no phone service for about 24 hours,neutral,neutral
hey be your site down I be go to listen to the web stream but can t get to the site,worry,worry
I m all sad because I ll probably never see Fleetwood Mac,sadness,sadness
get a haircut NOT happy,hate,worry
really really bore I guess I will go to bed,boredom,sadness
your twitter be break,worry,worry
I haven t talk to you since the last day of school that s no right,worry,sadness
I be lose Please help me find a good home,worry,worry
be SORE should not have do that jump last night,worry,worry
just spend 2 hours play TF2 and I don t think I m any better at it than when I start,fun,neutral
im not at litle oven tonight,worry,worry
at least 30 bug bite on her legs,worry,worry
fun tonight make up pillow fight and skin wish i could have stay over,happiness,sadness
I know My bro ask if I shake my fists and now own 6 cat Will have to make up for last night this weekend when I m in Philly,empty,sadness
rt ughh get fuckin pull over for talkin on my cell in a school zone FUCK HIGHLAND PARK POLICE rude mofo,hate,worry
Can t sorry And don t call me lame,empty,worry
amp Malware on my work PC I miss have an IT dept,sadness,sadness
I live in the Philippines gt lt and honestly i wan na live somewhere with snow,hate,worry
Aila Cyclone leave my house in Calcutta with a break sunshade balcony and a huge branch of tree thru our bathroom window,worry,sadness
nervous and want things to be deal with already it suck have important life stuff up in the air,worry,worry
just skid all over the road,neutral,worry
shaaqT to mast ladki patata hai chal jiske sath bhi jaye khush rehna will miss u my love twpp,sadness,sadness
Are you blogging yet I miss you write,worry,worry
karma down bakit kse nilagnat aq khpon,neutral,worry
I love johnny carson now I m go to hate see jay leno go via that s what I be wait for someone to say,love,sadness
The Notebook last night Wahh V good Cried my eye out Maybe a bite too close to home I think Go watch,worry,worry
think I m run a fever and not feel so well,worry,worry
the slowest website,surprise,neutral
I wish i could have a pole we get no space for it maybe i should throw out some furniture and get a pole,sadness,sadness
that be so sad wish I can do something big for the kid may God Bless the kid always,worry,sadness
appt,neutral,worry
Carillo Beach and WIll Rogers State Park be on the list of State Parks that might close,neutral,neutral
Ten hours ago I be be sleep sorry,sadness,worry
man up and get ready for work I wan na sleep,sadness,worry
the SF fog to LA,neutral,neutral
have break text message,neutral,worry
feel like I m on house arrest,worry,worry
Oh I forget things you see Ahah I hat that It creep me out,hate,sadness
trouble sync my iphone to my work exchange email help,worry,worry
Want 2 transfer my Naini trip picture 2my comp so I can upload thm on web bt i dnt hv my USB Snt few via multimedia 5 Rs pic Expnsiv,sadness,worry
i hit my chin on something when i fell down and it hurt ugh work be gon na suck,sadness,sadness
be feel very sick have day off today ARRGH,worry,worry
I send my donation to Eric and want to put the banner on but my avatar disappear when I try,worry,worry
even pick up n pop and go for dinner at Ta Lum Tum Tum som tum Major Avenue decide to go home not club tonite,sadness,neutral
upset,worry,worry
Sammie the Cat,sadness,worry
know you re too old to party like a rockstar when you realize no one else clap when they dance It s just you,worry,worry
yes sober HAHAHA tanghaling tapat dude haha WILD i don t knoww plan plan before you go to US,surprise,neutral
feel very alone at the moment Mh I m go to leave now,sadness,worry
get a giant splinter stick up underneath my finger nail today at Muppets it hurt But I get to go to First Aid for the first time,worry,worry
rda2009cla presentation be too large to post sorry From rule to entities catalogue with RDA live gt,worry,worry
i know and we get ta wait until earl 2010 i think or very late 2009 its just wrong,neutral,worry
don t understand the whole follow friday thing,surprise,neutral
dear I m be follow by someone that claim to help you stay young the end be nigh,worry,worry
to move to QLD already this cold weather be kill me,hate,worry
alone in this old house again Thanks for the net which keep me alive and kick Whoever invent the net i wan na kiss your hair,fun,sadness
just wake up not very impress with my sleep or my dream today be go to be a sucky day I can feel it,worry,worry
Oh man Did Yogg today Worse than last week,sadness,worry
oh no I wake up accidentally how can we get you to fall asleep Should I scare you with P2 or P3 stories JK,fun,worry
Finito Hunk Ah Hunk of Burning Love I do believe my camera phone be stuff Stupid blurryness,fun,sadness
would love someone to talk to,boredom,love
their be no pancake mix,surprise,worry
all the awesome weather because she be in a movie,relief,sadness
off to work,neutral,sadness
rain I hate rain go to shop and drink coffee all day,sadness,sadness
i know This season have just zoom by,love,worry
Ubertwitter be still give me an error msg Smh Sucks,worry,neutral
4th time in 1 month that i m spend time for a break airco this time sigh great with this weekend weather,sadness,sadness
out with lizziemonster amp i be soo hungry,neutral,worry
Time to nodd off its gon na be a long day tomorrow Saying goodbye to my car for good,sadness,worry
I know huh,surprise,neutral
Do you know if NHibernate have issue with COM Interop VB6 lt gt Net Wrapper lt gt Net NHibernate dll I m get crazy,hate,worry
loll i cba to get the sun stuff and i forget that the back of my leg wouldnt gwt tan lol it hurt soo bad right now,hate,worry
ya i be suffer the whole day yesterday meet dentist and feel a bite better i still look like rocky balboa though,sadness,worry
back and put in the laundry We get in there last o well as long as its clean DSAA09,neutral,worry
need to replace MacBook display CHF 670 for work and hardware almost half of the MB price,hate,neutral
Philippines tour please Please Please,neutral,worry
make a terrible mistake i need an auto save function for everything i do,worry,neutral
so sleep deprive but it s to hot to sleep,sadness,worry
begin to get way too hard to please all of my friends at once,sadness,worry
much for buy that awesome new phone from sony ericsson I be now Berry d like everyone else,happiness,sadness
300 then ya up with me my friend i type too much,neutral,sadness
be California it have to be sunny But its not make me kinda sad,sadness,sadness
get my hair cut and have severe anxiety about it,worry,worry
Aw you would not unfollow me would you Then I would cry,neutral,neutral
i rarely sleep cant help it hehe,worry,worry
Still jealous,sadness,neutral
Can t even describe how much my back hurt Going to have to go to the stupid doctor,sadness,worry
change the soap in the men s loo and it doesn t smell of marzipan anymore I miss the marzipan soap,worry,worry
i cant sleep,neutral,worry
more followers follow me and I ll love you pout Please,neutral,love
only 5 vote not gon na win anything now,sadness,neutral
be money problems so bad these days,worry,worry
of course cough I mean no 1 5 hours extra test and debug time,enthusiasm,neutral
and Berwick break my achy breaky heart They split ways in the hallways,sadness,worry
UGH I miss the POTUS MY Five Guys 2 block from my house and 3 block from my job,worry,sadness
i actually need to be clean my house,neutral,neutral
hmm I think u be sleep Too bad I can t see those videos until tomorrow night,worry,worry
to pack for CALI CALI Can not waitt Thinking a glass of wine be in order to celebrate my weekend vaca Still work 2morrow tho,happiness,worry
yeah I much prefer tweetdeck but if you must have multiple account,surprise,neutral
i can t sleep again say hi to random people,fun,worry
dood it be work tea time later be you work tonight,fun,neutral
Taylor like crazy cant wait till he s back,sadness,worry
Yoga tonight but i be go to try Pilates let see how many un use muscle i can discover,neutral,worry
be so slow so I will probably miss the first beer,sadness,worry
anyone there Please say hello I m feel lonely,worry,worry
really should stop rely on my family when they say their go to get me lunch,sadness,worry
be up and have to deal with another rainy day What the hell happen to summer its so freakin cold,hate,sadness
have bite the dust don t know if I ll make the Mustangs game tomorrow,worry,worry
about to go to work,neutral,worry
look like schuhz and arabyrd now,neutral,worry
the hello kitty not enough time oh well,neutral,worry
Nice start to the holiday,relief,neutral
i wish i be outside,sadness,sadness
Nt able to follow anyone friendorfollow com here i come itsucks,worry,neutral
so someone have my key or they be really good at this quot hide from James quot game,surprise,worry
unfortunately I will miss Girl Bros Radio tonight Will be in the midst of an all night write session,worry,sadness
he s not log in yet and i doubt if he will check his his reply here in twitter but we must keep on try,worry,worry
to check and make sure no more fishies be dead poor fishies,worry,worry
iMac s die keep cut out for no reason Anyone recommend a good mac place for service part Think I need a new power supply,worry,worry
over ebay purchase go bad outta 45 and have nothing to show for it amp,sadness,worry
Why can t I see WHITE SOX players random bar I go to NOT Cubs players waah,fun,neutral
shoe hurt my feet,worry,sadness
Friday Only 5 more hours until I m free until tomorrow oh well,relief,worry
be onee year,empty,worry
that be so odd i want to see it this weekend,neutral,sadness
feel like such an idiot on the phone and it make it worse when Brandon say I didn t say the right stuff,love,sadness
indeed much fail,worry,worry
guy need to get on me It s be 2 weeks since I ve go on a cache hunt geocaching,neutral,neutral
now I know why it didn t work just not too keen on pay though for a 2ndary social network,worry,sadness
I miss my babyy,worry,sadness
people I be sick,hate,worry
the warm weather but can we get some rain please my water bill be go to be bad,worry,worry
aww haha i want one but can t get one coz u dun have my number,worry,sadness
awake Anybody else awake Wish I live in the US since all the fun happen when I m asleep,sadness,sadness
not come over,relief,neutral
bore,empty,sadness
yis i ryke it,sadness,worry
haha sorry to hear that,worry,sadness
He s my mother s favorite It be so hard tell her,empty,worry
I see Lol I ll make it fun for you to follow me tomorrow I have to go to bed now,fun,neutral
be boringg drive after school today ugh hope i do better with mr Dodd,neutral,worry
You have to email her she only get what people want in so they aren t on the site Shame about the trousers,sadness,worry
such beautiful weather why be u sick baby tanapolis,worry,worry
not sleep because he have paperwork to do,worry,worry
folks Light tweet today Hurrah from the crowd cos I ve a busy Friday Me inside sunshine out,neutral,worry
one more day of Jay Leno que sad,enthusiasm,sadness
and at em get a big To Do List for today and hubby have to work But then weekend be go to be just us I think,happiness,worry
get the sound to work while on DVD I be go to watch Mary Poppins,worry,worry
uh wait i think this be the 29th tonight,neutral,worry
o que houve,neutral,neutral
harneet as a kid i remember search with the local video store owner in a godown get a video tape with fungus badluck,sadness,neutral
oh snap,sadness,worry
the fuck out of my hand today,worry,worry
make me wear a mask and gloves at work cause I m sick Says he doesn t want to catch swine flu,hate,worry
do you finish twilight i do and i wish it wasnt over,sadness,neutral
my pancakes always end up soggy,worry,neutral
eat Something I don t know what it be Why do I keep Telling things about food,worry,worry
people contain gluten so now i cant be a cannibal,neutral,worry
same as I to bad I m a programmer only in this company,worry,sadness
Qi about to start I ll be miss the next 4,sadness,worry
I m still wait for Separate Ways,neutral,worry
ll217 its true i can never be like never,worry,worry
goddamn that fuck suck hug,sadness,hate
i miss you,sadness,sadness
you beggar Making me feel homesick,sadness,worry
world the sun seem to have go away maybe to Majorca or some other popular tourist spot Hope it come back soon,happiness,neutral
i wish the result IS true,worry,sadness
OH MAN I WOULD BUT I M FRESH OUT,worry,worry
NICE I want it I ll get the pirate I MISS YOU,fun,sadness
look at what i say to someone actually dont no do it dont yes no yes no UGH i dont know,worry,worry
be attend CIC s parent orientation tomorrow need to wake up early,surprise,neutral
like a junkie i live in chronic pain disorder with fentanyl an morphin that be not nice it really suck,worry,sadness
I wasn t near him,sadness,worry
eek can t wait to see it as well as everyone elses gahh i don t know what i want lol,fun,worry
The newest versions be not any better,worry,neutral
son have surgery yesterday so mommy and son time win t be as long today,relief,worry
aw sad I be look forward to see you,sadness,sadness
quot Up quot due to out of focus projection Hopefully my complaints to theater management will get it fix for everyone else still there,hate,worry
I ve be,neutral,neutral
Are you guy gon na get the metal detector from the Brickmans I saw Chad ask Davey on FB Sorry bout your ring,neutral,worry
Ready for our 3D Jonas Brothers Experience Real Brothers not include,neutral,worry
feel bad just get bad news about my Mum,worry,worry
from ultimate try to figure out how to pay for school next semester,worry,worry
hungry agaaiin maam,neutral,worry
I want TF2 everybody on my Steam Friends list be play it,worry,neutral
a friend of mine be throw off his horse as a lorry drive past us ignore us signal for him to slow down,sadness,sadness
U watch the spell bee contest winner Kavya Shivshankar Impressive performance i have not even hear most of the word b4,fun,neutral
it s say that it be the wrong link it can not find the address,neutral,worry
computer die,sadness,sadness
bore meet to attend,sadness,sadness
be you still angry with me,worry,sadness
know I shouldn t be say this but fuck it I m horny as hell,happiness,sadness
so bore i can barely even tweet i have nothing to talk about boredboots,sadness,worry
it It seem that every time I blip a song it s unavailable,happiness,neutral
get up Need to leave for class in a hour,enthusiasm,worry
my boo,sadness,worry
just call me a big bucket of ugly wish me luck for my audition tweet,surprise,sadness
and bike rid around the village today with Lulu Love my new bike just wish I didn t have to lock it up all the time,love,love
I do not twitt yesterday cause it be a very busy day but I ll be back tomorrow BTW I can not sleep I m like in zombie mode,worry,worry
for all the season finales,sadness,worry
my Bonnaroo ticket Can t get any time away from work Anyone in the DC area interest I can meet up,sadness,worry
And now she also rid giant squids who know Ama hafta go now i ll try and get on later love to you xx,love,love
Ah sorry to hear your trip be cancel,worry,sadness
oist the 1st tym di pa ko 18 the 2nd tym may sakit na siya don t blame me,sadness,neutral
yep and its freeze i hate winter im literally wear blackets,sadness,worry
I wish you be here NOWW grr,sadness,sadness
wish u be in the D,sadness,sadness
the weekend its sunny and I get another puncture,hate,sadness
love the fact that there be tension on the set of Iron Man 2 poor Gwenyth can t handle be in Scarlett s shadow,neutral,sadness
shoutout to we re both starvin like homeless cambodian kid lmao,worry,worry
please don t roll your eye I can t handle that cry,sadness,worry
gap year be go so quick,surprise,sadness
I m up wit cha Just get home from da reggae club wishin I be sexin somebody,happiness,worry
Hoepfner Burgfest in Karlsruhe Automatic reload fail,neutral,sadness
Bass_ Heading off to Poole around 4ish have some serious garden to do before we go no Tweetdeck til Sunday even,fun,worry
back andIm drink and as much asI love my friends I hate how they unintentionally make me feel inadequate Ineedhelp,hate,sadness
hate have headrush,neutral,hate
commercial shoot in Tokyo not much time to play there quick and dirty,happiness,neutral
wish u could rub my head too,neutral,sadness
do googledocs do folders instead of label like gmail I kind of like label,happiness,worry
HATE FLORISTS No rise for cassadee tomorrow now fricken fag florist people hmm need something else hmm,hate,worry
Today yeah,neutral,neutral
she wuz my best friend,sadness,worry
OMG thank you so much for send that I hadn t see yet So love the new Phoenix too bad they re not come to Seattle,love,sadness
make me Trying to code something if you know php HELP,worry,worry
cant hear anything outta my leave ear,sadness,worry
jessicababess IvanaE DECEMBER thats like a year away,neutral,worry
lunch at work Good food But suck be here on my day off lol,enthusiasm,sadness
dream about monsters last night like a little girl,empty,worry
full that im start to feel sick,worry,sadness
to nap but if i sleep i might not wake up before kyle get here and soo hungry,neutral,worry
dont get twitter Someone help me,worry,worry
think so much and i m at work,surprise,worry
work I don t like today its nasty outside can t wait to get home today and clean my house,worry,worry
I have no text plan on my phone I ll send the though you re more than welcome to call,fun,worry
I focus on Tom so much I didn t see my beloved Barack Oh no I must vote for both Poor president only have 626 vote,neutral,worry
some of the decisions I make,sadness,worry
lady gaga tweet about not be impress by her video leak just so you know,worry,neutral
wish I could say the same about the weather in Mumbai Its hot n horrible but guess it friday so one reason to be,neutral,sadness
finish 8 hours of Texas Life Insurance CE tonight 22 more hours to go,relief,worry
deathmatch I don t have that game Plus I m not really good at any game lol,neutral,worry
to funeral today for friend and classmate who die in a car wreck last Friday,sadness,worry
I don t know what to write anymore My mind must be tire It s past midnight here already Do a tour in the Philippines,worry,worry
guess we re not gon na meet up today,sadness,worry
say not in stock,neutral,worry
miss justin timberlake s voice i want him to make new album again,enthusiasm,sadness
tire of be tire,empty,worry
a blood test today Wasn t too bad really Needed to dash 2 Starbucks after to revive my spirit with a nice Iced latte amp a bun Yum,relief,worry
head hurt,sadness,worry
really not feel today soo much work to do and I have a soar throat gosh,worry,worry
sorry bout 2day bloody typical goin 4 a laydown now feel sick again oo this not nice x,worry,worry
sniff sniff take care ravel Hopefully we ll be chat again soon In the mean time I ll HELLA miss you,sadness,sadness
beautiful outside The sun be shin the bird be sing and I I m study Wish it be already vacation,worry,worry
I saw you stalkerishly from the elevator but Brookie be eat her moracca So we have to go,relief,worry
july too long,neutral,neutral
do that mean your go to block me,worry,sadness
I m try to self learn photoshop but it s not go so well,surprise,worry
man i cant go on sunday cause im help out all day at the piano recital this suck,surprise,sadness
i shorry bebeh it okeh ada one more chance,worry,worry
I wish I could still drink it but I have two bad nights with white wine in London and then I be sick for almost a week,worry,sadness
Umm yeah That s probably a pretty good note to self because eeww,hate,neutral
do not feel good,worry,worry
car be in at the garage amp be not come out anytime soon last time I hear the gearbox be the problem still wait for the quote,worry,worry
guess no BGN,surprise,neutral
a brighter note still at work at 6 15 on Friday work on other people problems oh man I m SO eat pizza tonight hoorah,sadness,worry
_yeah thank for that you pair of gits hope it s mega like the bus,happiness,worry
5 not talk to my victor i m so bore at night now grr i hate this shit,hate,hate
not win Kelly Clarkson Tickets Sorry Cecilia Really wish I could give that to you You so much deserve it,worry,sadness
its not fruit its those sugar cover sweets My tummy be not happy,worry,worry
I don t have an invite i might try Mr P Bale for an invite,neutral,worry
ever be here the night we didnt meet we end up here possibly the best pizza this side of Chicago,happiness,sadness
storm be here and the electricity be go,sadness,worry
everybody Sorry for the long listen Iwas too busy,worry,neutral
miss the bl y bus,neutral,sadness
Stayed up too late last night still get ta work amp get up super early tomorrow,worry,worry
I can t get it to load And I want everyone to see my quot Bette Davis Eyes quot remix video today boo,sadness,worry
i try that the other day but they werent give up what they be use,sadness,neutral
You must be do different poetry to me All we get be Catullus some Ovid and and an extract from the Aeneid x,worry,worry
make it to the gym so will be do my blowout sans thong wear company Phew But bummer on miss workout,worry,sadness
ooh if youre on the computer make your playlist come online pls im bore now that ive block everyone again,hate,sadness
hair all day wish i be outside,neutral,sadness
I wish I be there,sadness,sadness
miss my train,worry,sadness
on Knight It s be well over 4 hours,neutral,worry
that funny feel that usually indicate I m sick Great,worry,worry
Can t Bro on laptop amp Salm on comp Me stick with Wii xx,hate,worry
i be do the MicroEconomics project ihate this subject amp beside that i have the english ILETS exam tomorrow waa HELP,worry,worry
spose to be go to a party tonight but gues what im sick grr,worry,worry
I m hat bein at work till 10 on a day like this I feel like its a waste lovley day,hate,sadness
hate pack,hate,hate
n o   t e x t,sadness,neutral
The curse of justin strike again Date the burton and end up screw poor sod,sadness,worry
kill everyone for nothing o ss,worry,neutral
red hair be too difficult on the upkeep Re dye it a more manageable brown red Boo,anger,worry
hairs straight lmao,neutral,worry
I hate June gloom I be get so excite for the beach,hate,sadness
omg when do they finish,love,neutral
stink no headphones,sadness,neutral
pick up by his sitter for the weekend,neutral,sadness
guess my leg havent heal from the old injuries but i can still run though and kick ball haha but will sometimes fell a sharp pain,worry,sadness
hot today _ don t like it and i hate my new timetable have such a bad week,hate,hate
to yale Grandmother in car accident,worry,neutral
miss them,worry,sadness
hate go online and look at the balance in the bank its always a lot lower than I need it to be,worry,worry
I m just start to feel really panicky and anxious that something bad have happen cos it seem like it s be age,worry,worry
Probably because it wasnt a command bet you dont understand pay out on fantasy football either droids Look out for,worry,neutral
mess up my back hip it hurt so bad,surprise,worry
Tim say that they re make a Red vs Blue animate series It ll be either on Adult Swim or G4 I hope AS coz I don t have G4,enthusiasm,worry
Grr people suck I cry when animals die on nature show These people be sick No hunt endanger species,sadness,sadness
earlier because of a stupid orthadontist appointment,hate,sadness
again your fault i didnt make u leave,hate,sadness
the delivery be postpone shes not have the baby til 5 and i ll be at work,sadness,worry
most of the weekend work that doesn t even sound fun,sadness,sadness
would LOVE to ride the superman right now,fun,sadness
i wan na see her hair hows everyone,worry,sadness
nuhh no info on ticketek yet Heaps excite though I dont care how much but I hope it isn t too much,fun,worry
my way to Ft Knox,worry,worry
if only that be really my job title,love,worry
from now it will be impossible to Plurk from work system administrators close the access in the firew,neutral,worry
get wake up by my mom Our ENTIRE first floor be flood All our furniture curtain moms expensive rugs Soaked and ruin,hate,worry
yes i be and i be ready to go when i get here ugh and its soo pretty outside,sadness,worry
be so nice all day and now it look like it s go to rain just when i be get excite about take photos when i get home,happiness,sadness
the UK with no phone service oh yea and still sick cough sniff,worry,worry
Snap To Grid I just realize that I haven t see Iqbal in 5 days,neutral,sadness
jealous of his family their all have an amaze breakfast and all i get be rice crispies,worry,worry
go into school 2 get some spanish CDs quot siguee quot haha Then guess what my plan be study all day again,worry,sadness
